filepath,xmin,xmax,ymin,ymax
/Users/asik/Desktop/ANPR/images/N514.xml,63,243,234,274
/Users/asik/Desktop/ANPR/images/N528.xml,184,342,220,257
/Users/asik/Desktop/ANPR/images/N110.xml,286,328,133,159
/Users/asik/Desktop/ANPR/images/N104.xml,195,244,266,282
/Users/asik/Desktop/ANPR/images/N138.xml,153,254,141,185
/Users/asik/Desktop/ANPR/images/N61.xml,71,198,124,231
/Users/asik/Desktop/ANPR/images/N49.xml,268,314,171,190
/Users/asik/Desktop/ANPR/images/N474.xml,156,335,259,303
/Users/asik/Desktop/ANPR/images/N312.xml,111,518,66,246
/Users/asik/Desktop/ANPR/images/N306.xml,139,249,282,310
/Users/asik/Desktop/ANPR/images/N460.xml,360,500,171,206
/Users/asik/Desktop/ANPR/images/N448.xml,373,528,366,408
/Users/asik/Desktop/ANPR/images/N449.xml,99,216,367,423
/Users/asik/Desktop/ANPR/images/N307.xml,172,437,163,220
/Users/asik/Desktop/ANPR/images/N461.xml,856,1218,665,751
/Users/asik/Desktop/ANPR/images/N475.xml,196,352,135,173
/Users/asik/Desktop/ANPR/images/N313.xml,176,252,211,246
/Users/asik/Desktop/ANPR/images/N48.xml,95,286,117,155
/Users/asik/Desktop/ANPR/images/N74.xml,115,277,115,153
/Users/asik/Desktop/ANPR/images/N60.xml,45,364,98,159
/Users/asik/Desktop/ANPR/images/N111.xml,319,478,165,204
/Users/asik/Desktop/ANPR/images/N529.xml,148,239,250,320
/Users/asik/Desktop/ANPR/images/N273.xml,74,264,132,173
/Users/asik/Desktop/ANPR/images/N515.xml,23,408,173,391
/Users/asik/Desktop/ANPR/images/N501.xml,113,277,288,347
/Users/asik/Desktop/ANPR/images/N267.xml,274,343,118,138
/Users/asik/Desktop/ANPR/images/N298.xml,166,233,148,184
/Users/asik/Desktop/ANPR/images/N9.xml,164,272,224,247
/Users/asik/Desktop/ANPR/images/N288.xml,97,164,148,169
/Users/asik/Desktop/ANPR/images/N539.xml,647,736,332,387
/Users/asik/Desktop/ANPR/images/N263.xml,129,232,260,290
/Users/asik/Desktop/ANPR/images/N505.xml,235,349,319,352
/Users/asik/Desktop/ANPR/images/N511.xml,239,347,187,211
/Users/asik/Desktop/ANPR/images/N129.xml,204,282,213,267
/Users/asik/Desktop/ANPR/images/N115.xml,315,407,287,311
/Users/asik/Desktop/ANPR/images/N101.xml,167,240,202,220
/Users/asik/Desktop/ANPR/images/N58.xml,154,241,166,187
/Users/asik/Desktop/ANPR/images/N64.xml,120,325,187,220
/Users/asik/Desktop/ANPR/images/N70.xml,179,213,115,133
/Users/asik/Desktop/ANPR/images/N459.xml,256,381,233,261
/Users/asik/Desktop/ANPR/images/N317.xml,164,240,202,220
/Users/asik/Desktop/ANPR/images/N471.xml,107,256,147,180
/Users/asik/Desktop/ANPR/images/N465.xml,77,200,231,290
/Users/asik/Desktop/ANPR/images/N303.xml,150,247,211,237
/Users/asik/Desktop/ANPR/images/N464.xml,392,517,161,213
/Users/asik/Desktop/ANPR/images/N302.xml,222,425,98,149
/Users/asik/Desktop/ANPR/images/N316.xml,377,476,405,439
/Users/asik/Desktop/ANPR/images/N470.xml,113,257,282,322
/Users/asik/Desktop/ANPR/images/N458.xml,928,1219,543,606
/Users/asik/Desktop/ANPR/images/N71.xml,254,284,144,152
/Users/asik/Desktop/ANPR/images/N65.xml,207,300,200,260
/Users/asik/Desktop/ANPR/images/N59.xml,324,375,162,175
/Users/asik/Desktop/ANPR/images/N100.xml,175,214,114,131
/Users/asik/Desktop/ANPR/images/N128.xml,112,306,65,173
/Users/asik/Desktop/ANPR/images/N510.xml,53,185,206,232
/Users/asik/Desktop/ANPR/images/N276.xml,115,276,116,156
/Users/asik/Desktop/ANPR/images/N262.xml,243,285,184,205
/Users/asik/Desktop/ANPR/images/N504.xml,456,651,722,778
/Users/asik/Desktop/ANPR/images/N538.xml,180,559,216,314
/Users/asik/Desktop/ANPR/images/N289.xml,163,271,140,173
/Users/asik/Desktop/ANPR/images/N8.xml,204,304,104,134
/Users/asik/Desktop/ANPR/images/N248.xml,184,311,143,191
/Users/asik/Desktop/ANPR/images/N274.xml,196,253,149,169
/Users/asik/Desktop/ANPR/images/N512.xml,113,420,209,260
/Users/asik/Desktop/ANPR/images/N506.xml,163,302,357,427
/Users/asik/Desktop/ANPR/images/N260.xml,170,232,112,129
/Users/asik/Desktop/ANPR/images/N102.xml,66,322,147,199
/Users/asik/Desktop/ANPR/images/N116.xml,149,267,218,247
/Users/asik/Desktop/ANPR/images/N499.xml,361,566,190,297
/Users/asik/Desktop/ANPR/images/N73.xml,119,283,22,69
/Users/asik/Desktop/ANPR/images/N67.xml,189,328,223,248
/Users/asik/Desktop/ANPR/images/N328.xml,156,248,149,170
/Users/asik/Desktop/ANPR/images/N98.xml,85,247,196,259
/Users/asik/Desktop/ANPR/images/N300.xml,259,317,185,215
/Users/asik/Desktop/ANPR/images/N466.xml,397,645,590,641
/Users/asik/Desktop/ANPR/images/N472.xml,454,797,109,234
/Users/asik/Desktop/ANPR/images/N314.xml,195,274,149,209
/Users/asik/Desktop/ANPR/images/N473.xml,161,313,212,259
/Users/asik/Desktop/ANPR/images/N315.xml,12,385,98,181
/Users/asik/Desktop/ANPR/images/N301.xml,205,303,107,135
/Users/asik/Desktop/ANPR/images/N467.xml,328,580,208,254
/Users/asik/Desktop/ANPR/images/N99.xml,70,262,198,271
/Users/asik/Desktop/ANPR/images/N329.xml,166,224,142,176
/Users/asik/Desktop/ANPR/images/N66.xml,144,211,170,202
/Users/asik/Desktop/ANPR/images/N72.xml,156,255,182,208
/Users/asik/Desktop/ANPR/images/N498.xml,466,740,680,737
/Users/asik/Desktop/ANPR/images/N117.xml,42,86,126,137
/Users/asik/Desktop/ANPR/images/N507.xml,448,638,273,338
/Users/asik/Desktop/ANPR/images/N261.xml,1,464,74,154
/Users/asik/Desktop/ANPR/images/N275.xml,99,162,150,167
/Users/asik/Desktop/ANPR/images/N513.xml,385,746,293,434
/Users/asik/Desktop/ANPR/images/N212.xml,105,290,94,141
/Users/asik/Desktop/ANPR/images/N206.xml,95,164,185,206
/Users/asik/Desktop/ANPR/images/N164.xml,160,239,144,183
/Users/asik/Desktop/ANPR/images/N170.xml,318,346,190,224
/Users/asik/Desktop/ANPR/images/N158.xml,97,296,118,210
/Users/asik/Desktop/ANPR/images/N29.xml,143,211,171,208
/Users/asik/Desktop/ANPR/images/N399.xml,106,309,62,161
/Users/asik/Desktop/ANPR/images/N366.xml,144,316,112,160
/Users/asik/Desktop/ANPR/images/N414.xml,269,309,206,228
/Users/asik/Desktop/ANPR/images/N372.xml,221,353,275,309
/Users/asik/Desktop/ANPR/images/N428.xml,142,258,128,157
/Users/asik/Desktop/ANPR/images/N429.xml,86,208,166,195
/Users/asik/Desktop/ANPR/images/N415.xml,133,261,157,192
/Users/asik/Desktop/ANPR/images/N373.xml,161,264,132,157
/Users/asik/Desktop/ANPR/images/N367.xml,224,382,161,222
/Users/asik/Desktop/ANPR/images/N401.xml,158,238,223,240
/Users/asik/Desktop/ANPR/images/N14.xml,94,274,118,163
/Users/asik/Desktop/ANPR/images/N159.xml,149,261,184,211
/Users/asik/Desktop/ANPR/images/N171.xml,192,242,146,167
/Users/asik/Desktop/ANPR/images/N165.xml,209,293,217,254
/Users/asik/Desktop/ANPR/images/N213.xml,150,233,160,194
/Users/asik/Desktop/ANPR/images/N205.xml,156,221,162,199
/Users/asik/Desktop/ANPR/images/N211.xml,28,387,64,235
/Users/asik/Desktop/ANPR/images/N239.xml,176,326,254,284
/Users/asik/Desktop/ANPR/images/N198.xml,166,273,225,246
/Users/asik/Desktop/ANPR/images/N173.xml,170,252,118,163
/Users/asik/Desktop/ANPR/images/N167.xml,176,327,254,285
/Users/asik/Desktop/ANPR/images/N371.xml,313,371,135,150
/Users/asik/Desktop/ANPR/images/N417.xml,90,273,145,196
/Users/asik/Desktop/ANPR/images/N365.xml,293,373,205,226
/Users/asik/Desktop/ANPR/images/N359.xml,228,266,228,240
/Users/asik/Desktop/ANPR/images/N402.xml,360,438,165,181
/Users/asik/Desktop/ANPR/images/N364.xml,61,115,140,167
/Users/asik/Desktop/ANPR/images/N370.xml,285,425,249,276
/Users/asik/Desktop/ANPR/images/N416.xml,150,234,207,221
/Users/asik/Desktop/ANPR/images/N166.xml,148,201,123,150
/Users/asik/Desktop/ANPR/images/N172.xml,173,301,209,239
/Users/asik/Desktop/ANPR/images/N199.xml,59,310,88,158
/Users/asik/Desktop/ANPR/images/N238.xml,276,396,186,273
/Users/asik/Desktop/ANPR/images/N210.xml,54,315,90,159
/Users/asik/Desktop/ANPR/images/N204.xml,193,279,145,187
/Users/asik/Desktop/ANPR/images/N200.xml,95,195,189,217
/Users/asik/Desktop/ANPR/images/N189.xml,285,423,241,286
/Users/asik/Desktop/ANPR/images/N176.xml,72,308,67,185
/Users/asik/Desktop/ANPR/images/N162.xml,201,268,168,213
/Users/asik/Desktop/ANPR/images/N13.xml,191,242,147,169
/Users/asik/Desktop/ANPR/images/N348.xml,156,250,121,204
/Users/asik/Desktop/ANPR/images/N412.xml,221,362,172,202
/Users/asik/Desktop/ANPR/images/N374.xml,354,441,118,142
/Users/asik/Desktop/ANPR/images/N406.xml,285,374,185,226
/Users/asik/Desktop/ANPR/images/N361.xml,148,305,113,178
/Users/asik/Desktop/ANPR/images/N375.xml,144,300,114,145
/Users/asik/Desktop/ANPR/images/N349.xml,38,146,225,249
/Users/asik/Desktop/ANPR/images/N12.xml,122,277,82,117
/Users/asik/Desktop/ANPR/images/N163.xml,220,360,173,200
/Users/asik/Desktop/ANPR/images/N177.xml,149,272,166,193
/Users/asik/Desktop/ANPR/images/N201.xml,216,367,171,208
/Users/asik/Desktop/ANPR/images/N217.xml,149,223,196,231
/Users/asik/Desktop/ANPR/images/N203.xml,116,271,112,165
/Users/asik/Desktop/ANPR/images/N149.xml,212,245,182,203
/Users/asik/Desktop/ANPR/images/N161.xml,312,406,283,311
/Users/asik/Desktop/ANPR/images/N175.xml,295,456,237,367
/Users/asik/Desktop/ANPR/images/N388.xml,149,255,130,158
/Users/asik/Desktop/ANPR/images/N38.xml,168,240,196,231
/Users/asik/Desktop/ANPR/images/N439.xml,1149,1358,649,702
/Users/asik/Desktop/ANPR/images/N405.xml,241,299,207,232
/Users/asik/Desktop/ANPR/images/N363.xml,153,254,169,204
/Users/asik/Desktop/ANPR/images/N377.xml,177,216,138,161
/Users/asik/Desktop/ANPR/images/N411.xml,160,249,153,197
/Users/asik/Desktop/ANPR/images/N376.xml,159,252,178,203
/Users/asik/Desktop/ANPR/images/N410.xml,51,219,150,212
/Users/asik/Desktop/ANPR/images/N404.xml,162,235,208,244
/Users/asik/Desktop/ANPR/images/N438.xml,858,1122,611,676
/Users/asik/Desktop/ANPR/images/N11.xml,131,273,206,234
/Users/asik/Desktop/ANPR/images/N39.xml,225,328,180,213
/Users/asik/Desktop/ANPR/images/N389.xml,77,222,305,370
/Users/asik/Desktop/ANPR/images/N160.xml,209,281,137,174
/Users/asik/Desktop/ANPR/images/N148.xml,135,218,134,158
/Users/asik/Desktop/ANPR/images/N202.xml,197,249,135,159
/Users/asik/Desktop/ANPR/images/N216.xml,205,280,214,262
/Users/asik/Desktop/ANPR/images/N233.xml,189,259,55,78
/Users/asik/Desktop/ANPR/images/N541.xml,342,494,243,288
/Users/asik/Desktop/ANPR/images/N227.xml,118,153,199,211
/Users/asik/Desktop/ANPR/images/N186.xml,175,242,152,175
/Users/asik/Desktop/ANPR/images/N192.xml,108,211,150,173
/Users/asik/Desktop/ANPR/images/N145.xml,282,422,236,283
/Users/asik/Desktop/ANPR/images/N151.xml,54,120,135,178
/Users/asik/Desktop/ANPR/images/N179.xml,72,132,160,197
/Users/asik/Desktop/ANPR/images/N34.xml,147,260,181,206
/Users/asik/Desktop/ANPR/images/N435.xml,73,260,381,462
/Users/asik/Desktop/ANPR/images/N353.xml,93,201,189,221
/Users/asik/Desktop/ANPR/images/N409.xml,116,203,146,168
/Users/asik/Desktop/ANPR/images/N434.xml,1093,1396,645,727
/Users/asik/Desktop/ANPR/images/N346.xml,91,197,185,217
/Users/asik/Desktop/ANPR/images/N420.xml,112,160,186,211
/Users/asik/Desktop/ANPR/images/N21.xml,191,255,165,192
/Users/asik/Desktop/ANPR/images/N391.xml,270,320,163,190
/Users/asik/Desktop/ANPR/images/N385.xml,69,310,75,191
/Users/asik/Desktop/ANPR/images/N35.xml,91,137,186,208
/Users/asik/Desktop/ANPR/images/N178.xml,126,173,180,205
/Users/asik/Desktop/ANPR/images/N150.xml,122,262,198,232
/Users/asik/Desktop/ANPR/images/N144.xml,101,215,114,154
/Users/asik/Desktop/ANPR/images/N193.xml,306,344,193,214
/Users/asik/Desktop/ANPR/images/N187.xml,96,287,116,155
/Users/asik/Desktop/ANPR/images/N540.xml,311,506,324,370
/Users/asik/Desktop/ANPR/images/N226.xml,249,318,194,213
/Users/asik/Desktop/ANPR/images/N232.xml,175,228,174,201
/Users/asik/Desktop/ANPR/images/N224.xml,181,243,250,275
/Users/asik/Desktop/ANPR/images/N542.xml,11,246,78,165
/Users/asik/Desktop/ANPR/images/N230.xml,222,361,173,202
/Users/asik/Desktop/ANPR/images/N191.xml,96,199,189,217
/Users/asik/Desktop/ANPR/images/N185.xml,154,293,147,194
/Users/asik/Desktop/ANPR/images/N152.xml,92,199,258,284
/Users/asik/Desktop/ANPR/images/N393.xml,94,211,171,208
/Users/asik/Desktop/ANPR/images/N23.xml,143,213,172,211
/Users/asik/Desktop/ANPR/images/N37.xml,146,246,114,163
/Users/asik/Desktop/ANPR/images/N387.xml,163,256,187,225
/Users/asik/Desktop/ANPR/images/N350.xml,162,211,179,188
/Users/asik/Desktop/ANPR/images/N436.xml,1326,1830,1464,1607
/Users/asik/Desktop/ANPR/images/N422.xml,159,296,126,182
/Users/asik/Desktop/ANPR/images/N344.xml,240,379,158,217
/Users/asik/Desktop/ANPR/images/N378.xml,118,254,92,137
/Users/asik/Desktop/ANPR/images/N379.xml,197,351,197,245
/Users/asik/Desktop/ANPR/images/N423.xml,162,283,159,183
/Users/asik/Desktop/ANPR/images/N345.xml,173,247,143,182
/Users/asik/Desktop/ANPR/images/N351.xml,249,368,48,129
/Users/asik/Desktop/ANPR/images/N437.xml,938,1173,709,762
/Users/asik/Desktop/ANPR/images/N386.xml,83,221,307,368
/Users/asik/Desktop/ANPR/images/N36.xml,203,285,193,229
/Users/asik/Desktop/ANPR/images/N22.xml,207,260,104,116
/Users/asik/Desktop/ANPR/images/N392.xml,144,260,150,209
/Users/asik/Desktop/ANPR/images/N147.xml,226,420,125,169
/Users/asik/Desktop/ANPR/images/N153.xml,146,311,118,170
/Users/asik/Desktop/ANPR/images/N184.xml,163,212,146,159
/Users/asik/Desktop/ANPR/images/N190.xml,149,245,210,235
/Users/asik/Desktop/ANPR/images/N219.xml,127,462,172,236
/Users/asik/Desktop/ANPR/images/N231.xml,64,133,160,180
/Users/asik/Desktop/ANPR/images/N225.xml,189,384,161,215
/Users/asik/Desktop/ANPR/images/N543.xml,165,328,276,324
/Users/asik/Desktop/ANPR/images/N547.xml,301,504,351,402
/Users/asik/Desktop/ANPR/images/N235.xml,152,247,145,167
/Users/asik/Desktop/ANPR/images/N194.xml,267,316,170,183
/Users/asik/Desktop/ANPR/images/N180.xml,151,304,115,187
/Users/asik/Desktop/ANPR/images/N157.xml,330,366,152,179
/Users/asik/Desktop/ANPR/images/N396.xml,181,269,264,289
/Users/asik/Desktop/ANPR/images/N26.xml,258,321,184,213
/Users/asik/Desktop/ANPR/images/N32.xml,200,251,149,167
/Users/asik/Desktop/ANPR/images/N382.xml,149,285,206,240
/Users/asik/Desktop/ANPR/images/N369.xml,176,325,253,280
/Users/asik/Desktop/ANPR/images/N433.xml,1804,2493,1734,1882
/Users/asik/Desktop/ANPR/images/N355.xml,164,239,154,190
/Users/asik/Desktop/ANPR/images/N341.xml,47,115,161,192
/Users/asik/Desktop/ANPR/images/N427.xml,236,375,193,228
/Users/asik/Desktop/ANPR/images/N340.xml,270,321,126,143
/Users/asik/Desktop/ANPR/images/N426.xml,148,282,206,238
/Users/asik/Desktop/ANPR/images/N432.xml,95,196,258,284
/Users/asik/Desktop/ANPR/images/N368.xml,173,223,173,203
/Users/asik/Desktop/ANPR/images/N33.xml,94,306,56,169
/Users/asik/Desktop/ANPR/images/N27.xml,148,245,127,159
/Users/asik/Desktop/ANPR/images/N397.xml,144,216,169,212
/Users/asik/Desktop/ANPR/images/N142.xml,178,273,124,144
/Users/asik/Desktop/ANPR/images/N181.xml,69,128,195,209
/Users/asik/Desktop/ANPR/images/N195.xml,450,526,223,244
/Users/asik/Desktop/ANPR/images/N234.xml,160,246,149,171
/Users/asik/Desktop/ANPR/images/N546.xml,58,221,198,271
/Users/asik/Desktop/ANPR/images/N220.xml,142,188,168,182
/Users/asik/Desktop/ANPR/images/N208.xml,142,232,123,169
/Users/asik/Desktop/ANPR/images/N236.xml,223,250,106,119
/Users/asik/Desktop/ANPR/images/N222.xml,178,235,158,170
/Users/asik/Desktop/ANPR/images/N544.xml,149,399,269,327
/Users/asik/Desktop/ANPR/images/N183.xml,97,234,138,170
/Users/asik/Desktop/ANPR/images/N197.xml,222,359,176,201
/Users/asik/Desktop/ANPR/images/N168.xml,82,137,95,125
/Users/asik/Desktop/ANPR/images/N140.xml,283,424,239,286
/Users/asik/Desktop/ANPR/images/N154.xml,70,264,197,265
/Users/asik/Desktop/ANPR/images/N19.xml,148,221,195,232
/Users/asik/Desktop/ANPR/images/N31.xml,286,400,173,211
/Users/asik/Desktop/ANPR/images/N381.xml,65,147,131,155
/Users/asik/Desktop/ANPR/images/N395.xml,241,288,182,205
/Users/asik/Desktop/ANPR/images/N25.xml,177,216,139,159
/Users/asik/Desktop/ANPR/images/N418.xml,99,303,70,155
/Users/asik/Desktop/ANPR/images/N424.xml,128,461,173,242
/Users/asik/Desktop/ANPR/images/N342.xml,196,253,148,169
/Users/asik/Desktop/ANPR/images/N356.xml,241,364,216,275
/Users/asik/Desktop/ANPR/images/N430.xml,38,116,159,197
/Users/asik/Desktop/ANPR/images/N357.xml,92,137,187,207
/Users/asik/Desktop/ANPR/images/N431.xml,55,343,82,147
/Users/asik/Desktop/ANPR/images/N425.xml,211,301,103,132
/Users/asik/Desktop/ANPR/images/N343.xml,110,162,186,209
/Users/asik/Desktop/ANPR/images/N419.xml,195,349,196,242
/Users/asik/Desktop/ANPR/images/N24.xml,167,240,202,221
/Users/asik/Desktop/ANPR/images/N394.xml,291,410,167,190
/Users/asik/Desktop/ANPR/images/N18.xml,313,405,286,311
/Users/asik/Desktop/ANPR/images/N155.xml,150,203,177,190
/Users/asik/Desktop/ANPR/images/N169.xml,114,229,79,101
/Users/asik/Desktop/ANPR/images/N182.xml,168,247,139,159
/Users/asik/Desktop/ANPR/images/N545.xml,24,142,209,245
/Users/asik/Desktop/ANPR/images/N237.xml,118,154,148,169
/Users/asik/Desktop/ANPR/images/N6.xml,112,373,114,239
/Users/asik/Desktop/ANPR/images/N293.xml,64,130,160,181
/Users/asik/Desktop/ANPR/images/N287.xml,148,262,180,213
/Users/asik/Desktop/ANPR/images/N536.xml,120,249,161,202
/Users/asik/Desktop/ANPR/images/N250.xml,132,261,123,160
/Users/asik/Desktop/ANPR/images/N244.xml,20,360,87,155
/Users/asik/Desktop/ANPR/images/N522.xml,164,316,216,243
/Users/asik/Desktop/ANPR/images/N126.xml,103,293,99,201
/Users/asik/Desktop/ANPR/images/N481.xml,302,486,265,303
/Users/asik/Desktop/ANPR/images/N57.xml,270,321,162,195
/Users/asik/Desktop/ANPR/images/N43.xml,142,319,111,161
/Users/asik/Desktop/ANPR/images/N495.xml,186,325,177,212
/Users/asik/Desktop/ANPR/images/N442.xml,131,187,130,144
/Users/asik/Desktop/ANPR/images/N94.xml,176,251,210,248
/Users/asik/Desktop/ANPR/images/N324.xml,151,255,138,159
/Users/asik/Desktop/ANPR/images/N330.xml,29,57,192,203
/Users/asik/Desktop/ANPR/images/N80.xml,94,279,148,186
/Users/asik/Desktop/ANPR/images/N456.xml,696,1061,546,677
/Users/asik/Desktop/ANPR/images/N318.xml,119,263,117,160
/Users/asik/Desktop/ANPR/images/N319.xml,167,232,228,259
/Users/asik/Desktop/ANPR/images/N331.xml,164,235,220,240
/Users/asik/Desktop/ANPR/images/N457.xml,738,1009,654,722
/Users/asik/Desktop/ANPR/images/N443.xml,976,1284,669,754
/Users/asik/Desktop/ANPR/images/N325.xml,230,262,180,196
/Users/asik/Desktop/ANPR/images/N95.xml,278,407,182,263
/Users/asik/Desktop/ANPR/images/N42.xml,177,217,140,159
/Users/asik/Desktop/ANPR/images/N494.xml,186,395,376,430
/Users/asik/Desktop/ANPR/images/N480.xml,189,299,162,188
/Users/asik/Desktop/ANPR/images/N133.xml,247,375,185,223
/Users/asik/Desktop/ANPR/images/N279.xml,42,202,131,243
/Users/asik/Desktop/ANPR/images/N245.xml,91,164,110,138
/Users/asik/Desktop/ANPR/images/N523.xml,813,1067,665,724
/Users/asik/Desktop/ANPR/images/N537.xml,532,852,636,706
/Users/asik/Desktop/ANPR/images/N251.xml,136,210,134,153
/Users/asik/Desktop/ANPR/images/N286.xml,201,288,191,230
/Users/asik/Desktop/ANPR/images/N7.xml,166,206,141,154
/Users/asik/Desktop/ANPR/images/N292.xml,91,137,187,208
/Users/asik/Desktop/ANPR/images/N284.xml,70,260,199,271
/Users/asik/Desktop/ANPR/images/N290.xml,224,271,84,118
/Users/asik/Desktop/ANPR/images/N521.xml,31,139,128,161
/Users/asik/Desktop/ANPR/images/N535.xml,157,316,226,278
/Users/asik/Desktop/ANPR/images/N509.xml,150,378,217,269
/Users/asik/Desktop/ANPR/images/N125.xml,280,355,196,257
/Users/asik/Desktop/ANPR/images/N496.xml,124,209,102,130
/Users/asik/Desktop/ANPR/images/N40.xml,261,317,186,211
/Users/asik/Desktop/ANPR/images/N54.xml,148,257,61,118
/Users/asik/Desktop/ANPR/images/N482.xml,211,406,161,202
/Users/asik/Desktop/ANPR/images/N68.xml,189,245,142,171
/Users/asik/Desktop/ANPR/images/N455.xml,132,235,169,193
/Users/asik/Desktop/ANPR/images/N333.xml,117,270,157,191
/Users/asik/Desktop/ANPR/images/N83.xml,251,326,295,341
/Users/asik/Desktop/ANPR/images/N97.xml,98,297,102,191
/Users/asik/Desktop/ANPR/images/N327.xml,138,262,126,155
/Users/asik/Desktop/ANPR/images/N441.xml,142,441,55,167
/Users/asik/Desktop/ANPR/images/N469.xml,142,298,281,327
/Users/asik/Desktop/ANPR/images/N468.xml,163,373,253,327
/Users/asik/Desktop/ANPR/images/N326.xml,141,252,198,230
/Users/asik/Desktop/ANPR/images/N96.xml,133,261,126,160
/Users/asik/Desktop/ANPR/images/N440.xml,788,1525,1675,1851
/Users/asik/Desktop/ANPR/images/N454.xml,151,280,193,224
/Users/asik/Desktop/ANPR/images/N82.xml,190,257,59,77
/Users/asik/Desktop/ANPR/images/N332.xml,143,260,126,159
/Users/asik/Desktop/ANPR/images/N69.xml,77,124,150,175
/Users/asik/Desktop/ANPR/images/N55.xml,143,210,171,208
/Users/asik/Desktop/ANPR/images/N483.xml,221,430,190,231
/Users/asik/Desktop/ANPR/images/N497.xml,161,366,210,250
/Users/asik/Desktop/ANPR/images/N41.xml,109,159,182,206
/Users/asik/Desktop/ANPR/images/N118.xml,193,394,165,217
/Users/asik/Desktop/ANPR/images/N130.xml,91,166,110,140
/Users/asik/Desktop/ANPR/images/N508.xml,208,370,89,173
/Users/asik/Desktop/ANPR/images/N252.xml,174,314,237,274
/Users/asik/Desktop/ANPR/images/N534.xml,15,200,33,126
/Users/asik/Desktop/ANPR/images/N520.xml,134,301,312,350
/Users/asik/Desktop/ANPR/images/N291.xml,71,215,205,246
/Users/asik/Desktop/ANPR/images/N4.xml,156,503,82,253
/Users/asik/Desktop/ANPR/images/N285.xml,91,163,111,134
/Users/asik/Desktop/ANPR/images/N281.xml,151,243,169,183
/Users/asik/Desktop/ANPR/images/N0.xml,226,419,125,173
/Users/asik/Desktop/ANPR/images/N295.xml,52,73,170,182
/Users/asik/Desktop/ANPR/images/N518.xml,563,675,207,238
/Users/asik/Desktop/ANPR/images/N242.xml,224,277,170,199
/Users/asik/Desktop/ANPR/images/N524.xml,66,154,166,197
/Users/asik/Desktop/ANPR/images/N530.xml,183,249,211,227
/Users/asik/Desktop/ANPR/images/N256.xml,286,400,175,212
/Users/asik/Desktop/ANPR/images/N108.xml,158,277,216,248
/Users/asik/Desktop/ANPR/images/N134.xml,76,133,151,174
/Users/asik/Desktop/ANPR/images/N120.xml,159,250,178,200
/Users/asik/Desktop/ANPR/images/N79.xml,238,350,363,422
/Users/asik/Desktop/ANPR/images/N493.xml,637,840,464,549
/Users/asik/Desktop/ANPR/images/N487.xml,297,422,174,218
/Users/asik/Desktop/ANPR/images/N51.xml,264,318,141,162
/Users/asik/Desktop/ANPR/images/N478.xml,234,422,254,294
/Users/asik/Desktop/ANPR/images/N336.xml,122,265,195,234
/Users/asik/Desktop/ANPR/images/N86.xml,332,447,176,204
/Users/asik/Desktop/ANPR/images/N450.xml,498,796,729,814
/Users/asik/Desktop/ANPR/images/N444.xml,1058,1351,660,756
/Users/asik/Desktop/ANPR/images/N92.xml,281,393,185,271
/Users/asik/Desktop/ANPR/images/N322.xml,274,350,257,297
/Users/asik/Desktop/ANPR/images/N445.xml,582,853,622,691
/Users/asik/Desktop/ANPR/images/N323.xml,123,279,28,65
/Users/asik/Desktop/ANPR/images/N87.xml,3,45,205,220
